Графіті №,табл,Розташування,Опис,Датування,Категорія
315 ,"ІІ, 1","['стіні', 'входу', 'вежі', 'храму', 'виступі', 'стіні', 'ніші', 'малюнком', 'про-', 'хреста']","Збереженість напису відносно добра, його складові майже повністю збе- реглись: г͠помоꙁ | рабусво-23 | му24несторов З розбивкою на слова та відновленням втраченого фрагмента текст виглядає таким чином: Г(оспод)и помози рабу сво[е]му Несторови. Господи, поможи рабу своєму Несторові. простежується тільки літера у. У зв'язку з потребою розміщення о в диграфі, на прорисовці дослідника конфігурація наступних літер була змінена, що, однак, не вплинуло на загальний зміст тексту.","['Початок', 'початок', 'ст.', 'формою', 'написання', 'переломом', 'щоглі', 'розвилкою', 'р', 'петлею', 'т', 'засічок', 'типовості', 'поширення', 'форм', 'написання', 'літер', 'межа', 'чвертю', 'ст.25']",['напис']
579 ,"ІІ, 2","['стороні', 'виступу', 'напис']","На поверхні личкувального розчину прокреслені літери ЛА. Поверхня стіни довкола них вказує, що напис із самого початку містив тільки ці дві складові.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'петлею', 'заломом']","['Абетки', 'склади', 'літери']"
580 ,"ІІІ, 1","['стіні', 'нішею', 'малюнком', 'проквіт-', 'хреста']",На поверхні личкувального розчину прокреслений простий чотириконеч- ний хрест.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів', 'пошкод-', 'ерозією', 'перебування', 'дією', 'опадів']","['Хрести', 'монограми', 'теонімограми']"
581 ,"ІІІ, 2","['стіні', 'нішею', 'малюнком', 'проквіт-', 'хреста']","На поверхні личкувального розчину прокреслений чотириконечний хрест, кінці якого розширюються у вигляді трикутників.","['чверть', 'кінець', 'ст.', 'формою', 'прорізів', 'пошкод-', 'ерозією', 'перебування', 'дією', 'опадів']","['Хрести', 'монограми', 'теонімограми', 'Графіті', 'фасаді', 'собору']"
4243 ,"ІІІ, 3","['стіні', 'пами', 'зондажі', 'мурування']","На поверхні торця плінфи простежуються три літери КОН. Далі поверхня пошкоджена, тож імовірно, тут був виконаний запис імені Кон[стантин] 'Костянтин'. Схожі написи траплялись на фасадах інших церковних споруд Києва, наприклад, у церкві Спаса на Берестові26.","['чверть', 'кінець', 'ст.', 'формою', 'прорізів', 'пошкод-', 'ерозією', 'перебування', 'дією', 'опадів']","['напис', 'І.3', 'Графіті', 'фасаді', 'собору']"
4244 ,"ІІІ, 4","['стороні', 'апсиди', 'Михайлівського', 'при-', 'діла']",На поверхні личкувального розчину прокреслений простий чотириконеч- ний хрест.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів', 'пошкод-', 'ерозією', 'перебування', 'дією', 'опадів']","['Хрести', 'монограми', 'теонімограми', 'ГРАФІТІ', 'ПІВНІЧНОЇ', 'СТОРОНИ', 'ЗАХІДНОЇ', 'ЗОВНІШНЬОЇ', 'ГАЛЕРЕЇ', 'розділі', ""пам'ятки"", 'нартексі', 'собору', 'р', 'місці', 'зовніш-', 'галереї', 'храму', 'початок', 'ст.', 'частина', 'поверхні', 'стін', 'нартексу', 'тоном', 'мурування', 'фреску', 'складу', 'нартексу', 'стороні', 'галереї', 'стіну', 'вежі', 'фреску', 'по-', 'аркбутану', 'зондажем', 'ділянку', 'тиньку', 'сторони', 'лопатки', 'стіни', 'ст.', 'стовпом', 'аркбутан', 'ІІ.1', 'Графіті', 'фасаді', 'вежі', 'фасаді', 'вежі', 'собору']"
609 ,"V, 1","['розчині', 'стіни', 'вежі']","На поверхні личкувального розчину прокреслений візерунок у вигляді подвійного кола, що орнаментоване всередині завитками. Не виключено, що малюнок був зразком граф'ї для орнаментування фасаду вежі, проте в подальшому майстри виконали на фресці інше зображення.","['десятиліття', 'ст.', 'формою', 'прорізів', 'си-', 'розчину']","['Емблеми', 'Дипінті', '№']"
611 ,"VІ, 2","['тиньку', 'стіни', 'вежі']","На фрагменті фрескового тиньку простежуються літери ПО, які найімо- вірніше розглядати як частину дієслова-прохання по[мози] 'поможи'.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'п', 'висту-', 'пом']",['напис']
612 ,"VІ, 1","['тиньку', 'стіни', 'вежі']","На фрагменті фрескового тиньку простежується малюнок руки, що три- має чотириконечний хрест. Вочевидь, це незначна збережена частина більшого за роз- мірами малюнка святого.","['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Зображення', 'ангелів']"
613 ,"VІ, 3","['розчині', 'стіни', 'вежі']","По личкувальному розчину був прокреслений малюнок чотириконечного хреста, кінці якого мали розширення у вигляді трикутників.","['десятиліття', 'ст.', 'формою', 'прорізів', 'си-', 'розчину']","['Хрести', 'монограми', 'теонімограми']"
614 ,"VІІ, 1","['тиньку', 'стіни', 'вежі']","Верхня частина малюнка знищена внаслідок обвалу тиньку, простежу- ються тільки зображення ступнів людини з позначенням пальців, що зверху прикриті довгим одягом, один кінець якого вільно звисає праворуч. В цілому сюжет цього малюнка дуже нагадує зображення архангела Гавриїла в мозаїчному сюжеті ""Благовіщення"" Софійського собору37. Така подібність дозволяє припустити, що невідомий автор намагався зобразити сюжет, побачений ним у стінах храму під час богослужіння. Наявний фрагмент малюнку виконаний на високому про- фесійному рівні, що вказує на руку досвідченого художника.","['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Зображення', 'ангелів']"
615 ,"VІ, 4","['тиньку', 'стіни', 'вежі']","Верхня частина малюнка не збереглась, проте за наявними фрагментами можемо встановити, що тут було зображено коня – добре простежується лінія тулуба та ноги тварини.","['чверть', 'кінець', 'ст.', 'формою', 'прорізів']",['зображення']
616 ,"VІІ, 2","['розчині', 'стіни', 'вежі']","На поверхні личкувального розчину подвійною рискою прокреслена овальна фігура, що дещо нагадує підкову.","['десятиліття', 'ст.', 'формою', 'прорізів', 'си-', 'розчину']","['Емблеми', 'ІІ.2', 'Графіті', 'стороні', 'лопатки', 'стіни', 'Фреска', 'стороні', 'лопатки', 'стіни', 'кладкою', 'стовпа', 'аркбутан', 'ст.40', 'ження', 'ділянка', 'зондажу', 'реставраторами', 'висоті', 'см', 'краю', 'зондажу', 'рівня', 'плит', 'підлоги', 'інформацію', 'графіті', '№', 'фресці', 'Даниїл', 'Стовпник', 'зондажем', 'полі', 'фрески', 'графіті', 'номери', '4245-го']"
4245 ,"VІІІ, 1","['Висота', 'краю', 'зондажу', 'см', 'відстань', 'краю', 'зондажу', 'см']","На поверхні фрескового тиньку лівим боком до глядача прокреслене схе- матичне зображення воїна, який правою рукою вертикально тримає довгий спис. Ліва частина малюнку знищена обвалом тиньку, проте за збереженими фрагментами мо- жемо встановити, що обличчя воїна було деталізоване – збереглись частина ока та носу, на голові помітне курчаве волосся.","['чверть', 'кінець', 'ст.', 'особливостями', 'розташування']",['зображення']
