Графіті №,табл,Розташування,Опис,Датування,Категорія
315 ,"ІІ, 1","Знаходиться на західній стіні, ліворуч від первісного входу до північної сходової вежі храму та праворуч на виступі стіні біля ніші з малюнком про- квітлого хреста (","Збереженість напису відносно добра, його складові майже повністю збе- реглись: г͠помоꙁ | рабусво-23 | му24несторов З розбивкою на слова та відновленням втраченого фрагмента текст виглядає таким чином: Г(оспод)и помози рабу сво[е]му Несторови. Господи, поможи рабу своєму Несторові. простежується тільки літера у. У зв'язку з потребою розміщення о в диграфі, на прорисовці дослідника конфігурація наступних літер була змінена, що, однак, не вплинуло на загальний зміст тексту.","Початок ХІІ – початок ХІV ст.; за формою написання в з переломом при щоглі, вертикальної з із розвилкою, прямолінійної р з округлою петлею та простої т без засічок; відповідно до типовості поширення таких форм написання літер верхня хронологічна межа може бути окреслена першою чвертю ХІІІ ст.25",Молитовний напис.
579 ,"ІІ, 2","Знаходиться на північній стороні того ж виступу, що й згаданий вище напис (","На поверхні личкувального розчину прокреслені літери ЛА. Поверхня стіни довкола них вказує, що напис із самого початку містив тільки ці дві складові.",Друга чверть ХІ – кінець ХV ст.; за формою написання а з петлею із заломом.,"Абетки, склади та окремі літери."
580 ,"ІІІ, 1","Знаходиться на західній стіні, під нішею з малюнком проквіт- лого хреста (",На поверхні личкувального розчину прокреслений простий чотириконеч- ний хрест.,"Друга чверть ХІ – кінець ХV ст.; за формою прорізів, сильно пошкод- жених ерозією, що свідчить про тривале перебування під дією атмосферних опадів.","Хрести, монограми, теонімограми."
581 ,"ІІІ, 2",Знаходиться на західній стіні під нішею з малюнком проквіт- лого хреста (,"На поверхні личкувального розчину прокреслений чотириконечний хрест, кінці якого розширюються у вигляді трикутників.","Друга чверть ХІ – кінець ХV ст.; за формою прорізів, сильно пошкод- жених ерозією, що свідчить про тривале перебування під дією атмосферних опадів.","Хрести, монограми, теонімограми. І.2. Графіті на північному фасаді Софійського собору"
4243 ,"ІІІ, 3",Знаходиться на північній стіні між двома її середніми висту- пами у невеликому зондажі давнього мурування (,"На поверхні торця плінфи простежуються три літери КОН. Далі поверхня пошкоджена, тож імовірно, тут був виконаний запис імені Кон[стантин] 'Костянтин'. Схожі написи траплялись на фасадах інших церковних споруд Києва, наприклад, у церкві Спаса на Берестові26.","Друга чверть ХІ – кінець ХV ст.; за формою прорізів, сильно пошкод- жених ерозією, що свідчить про тривале перебування під дією атмосферних опадів.",Пам'ятний напис. І.3. Графіті на східному фасаді Софійського собору
4244 ,"ІІІ, 4",Знаходиться на північній стороні апсиди Михайлівського при- діла (,На поверхні личкувального розчину прокреслений простий чотириконеч- ний хрест.,"Друга чверть ХІ – кінець ХV ст.; за формою прорізів, сильно пошкод- жених ерозією, що свідчить про тривале перебування під дією атмосферних опадів.","Хрести, монограми, теонімограми. ГРАФІТІ ПІВНІЧНОЇ СТОРОНИ ЗАХІДНОЇ ЗОВНІШНЬОЇ ГАЛЕРЕЇ У цьому розділі розглядатимуться епіграфічні пам'ятки, що знаходяться у ни- нішньому нартексі Софійського собору, зведеному у 1889 р. на місці західної зовніш- ньої галереї храму, що зруйнувалась на початок XVII ст. Нині більша частина поверхні стін нартексу закрита нейтральним тоном. Стародавнє мурування та фреску, що увійшло до складу нартексу, можемо бачити у північній стороні західної зовнішньої галереї, що містить зовнішню стіну північної сходової вежі, фреску внутрішньої по- верхні аркбутану та відкриту зондажем невелику ділянку фрескового тиньку західної сторони лопатки стіни, закритої наприкінці ХІ ст. підпірним стовпом під аркбутан. ІІ.1. Графіті на фасаді північної сходової вежі На південно-східному фасаді північної сходової вежі Софійського собору ("
609 ,"V, 1",Знаходиться на личкувальному розчині фасадної стіни північ- ної сходової вежі (,"На поверхні личкувального розчину прокреслений візерунок у вигляді подвійного кола, що орнаментоване всередині завитками. Не виключено, що малюнок був зразком граф'ї для орнаментування фасаду вежі, проте в подальшому майстри виконали на фресці інше зображення.","Друге десятиліття ХІ ст.; за формою прорізів, що виконані по си- рому личкувальному розчину.",Емблеми. Дипінті № 610 (
611 ,"VІ, 2",Знаходиться на фресковому тиньку фасадної стіни північної сходової вежі (,"На фрагменті фрескового тиньку простежуються літери ПО, які найімо- вірніше розглядати як частину дієслова-прохання по[мози] 'поможи'.",Друга чверть ХІ – кінець XІІI ст.; за формою написання п з висту- пом зверху.,Молитовний напис.
612 ,"VІ, 1",Знаходиться на фресковому тиньку фасадної стіни північної сходової вежі (,"На фрагменті фрескового тиньку простежується малюнок руки, що три- має чотириконечний хрест. Вочевидь, це незначна збережена частина більшого за роз- мірами малюнка святого.",Друга чверть ХІ – кінець XVI ст.; за формою прорізів.,Зображення ангелів та святих.
613 ,"VІ, 3",Знаходиться на личкувальному розчині фасадної стіни північ- ної сходової вежі (,"По личкувальному розчину був прокреслений малюнок чотириконечного хреста, кінці якого мали розширення у вигляді трикутників.","Друге десятиліття ХІ ст.; за формою прорізів, що виконані по си- рому личкувальному розчину.","Хрести, монограми, теонімограми."
