Графіті	B-inscription
№	O
4279	O

завершеним	O

Публікації	O
Згадувався	O
в	O
роботі	O
Ю.	O
Нельговського	O
з	O
посиланням	O
на	O
прочитання	O

--помозм	O
|	O
амнь	O

Графіті	B-inscription
№	O
569	O
табл	O
LІІІ	O
3	O

таким	O
чином	O

Року	O
1655-го	O
червня	O
19-го	O
дня	O
був	O
тут	O

Опис	B-inscription
Поверхня	O
стіни	O
в	O
місці	O
розташування	O
напису	B-inscription
сильно	O
пошкоджена	O
внас-	O

Опис	B-inscription
На	O
фресці	O
прокреслені	O
літери	O
Г	O
що	O
є	O
традиційним	O
скороченням	O
слова-	O

Розташування	B-inscription
Висота	O
від	O
основи	O
172	O
см	O

Помѧ[ни	O
Івана	O

Категорія	O
Молитовний	O
напис	B-inscription

У	O
верхньому	O
виконані	O
літери	O
гⷡа	O
текстової	O
частини	O
та	O
шістнадцять	O
вертикальних	O

З	O
розбивкою	O
на	O
слова	B-inscription
та	O
відновленням	O
втрачених	O
фрагментів	O
текст	O
виглядає	O

Датування	B-inscription
Друга	O
чверть	O
кінець	O
XI	O
ст.	O
за	O
особливостями	O
розташування	O

Опис	B-inscription
Рахункова	O
частина	O
однорядкового	O
запису	O
обчислення	O
кількості	O
проведе-	O

Опис	B-inscription
На	O
фресці	O
подвійними	O
рисками	O
прокреслений	B-inscription
малюнок	O
чотириконечного	O

жених	O
ерозією	O
що	O
свідчить	O
про	O
тривале	O
перебування	O
під	O
дією	O
атмосферних	O
опадів	O

Рокꙋ	O
҂	O
ах͠не	O
и]юнꙗ	O
͠і	O
днꙗ	O
был	O
т[ут	O

чевидь	O
сцена	O
має	O
зображати	O
диявола	O
в	O
образі	O
змія	O
спокусника	O

Датування	B-inscription
Друга	O
чверть	O
XІІ	O
кінець	O
XV	O
ст.	O
за	O
формою	O
написання	O
а	O
з	O
розкри-	O

Графіті	B-inscription
№	O
708	O
табл	O
LХХХVIІІ	O
1	O

Зважаючи	O
на	O
значні	O
втрати	O
впевненій	O
реконструкції	O
підлягає	O
тільки	O
початок	O

руглою	O
петлею	O
оу	O
зі	O
зменшеним	O
о	O
щ	O
з	O
виступаючим	O
над	O
рядком	O
хвостом	O

Г(оспод)и	O
помози	O
Несто[ро]ви	O

Датування	B-inscription
Кінець	O
ХVI	O
кінець	O
XVII	O
ст.	O
за	O
формою	O
прорізів	O
та	O
скорописними	O

№	O
4252	O
образ	O
цього	O
незбереженого	O
святого	O
може	O
бути	O
ідентифікований	O
як	O
св	O
Ми-	O

Розташування	B-inscription
Висота	O
від	O
сучасної	O
підлоги	O
112	O
см	O
відстань	O
від	O
лівого	O
кута	O
27	O
см	O

крашали	O
західну	O
частину	O
Софійського	O
собору42	O
то	O
епіграфічні	O
пам'ятки	O
що	O
знахо-	O

Бог	O
Той	O
Хто	O
є	O
і	O
Хто	O
був	O
і	O
Хто	O
має	O
прийти	O
Вседержитель	O
Об	O
1:8	O

Розташування	B-inscription
Висота	O
від	O
сучасної	O
підлоги	O
27	O
см	O
відстань	O
від	O
лівого	O
кута	O
35	O
см	O

Графіті	B-inscription
№	O
674	O
табл	O
LХХІХ	O
6	O

шпаклівкою	O
такі	O
написи	B-inscription
до	O
Корпусу	O
не	O
включені	O
Структура	O
тиньку	O
разом	O
з	O
