token	label
ГРАФІТІ	B-inscription
НА	O
ФАСАДАХ	O
СОФІЙСЬКОГО	O
СОБОРУ	O

Більша	O
частина	O
давнього	O
мурування	B-inscription
Софії	O
Київської	O
нині	O
захована	O
під	O
пізнішим	O

личкувальних	O
розчином	O
вкритим	O
побілкою	O
тож	O
для	O
вивчення	O
наразі	O
доступна	O
тільки	O

її	O
частина	O
відкрита	O
зондажами	O
Поверхня	O
личкувального	O
розчину	O
в	O
цих	O
зондажах	O

часто	O
вкрита	O
сучасними	O
написами	O
виконаними	O
олівцем	O
або	O
видряпаними	O
причому	O

нерідко	O
з	O
ерозією	O
внаслідок	O
чого	O
вони	O
скидаються	O
на	O
стародавні	O
Проте	O
рівень	O
ерозії	O

виражений	O
слабо	O
порівняно	O
з	O
давніми	O
пам'ятками	O
у	O
них	O
відсутні	O
залишки	O
пізнішого	O

личкувального	O
розчину	O
який	O
нанесли	O
на	O
стіни	O
храму	O
на	O
межі	O
XVII	O
XVIII	O
ст.	O
Тож	O
від-	O

ділити	O
давні	O
графіті	B-inscription
від	O
пізніших	O
можливо	O
Першу	O
знахідку	O
напису	B-inscription
на	O
давньому	O
фа-	O

саді	O
здійснив	O
С.	O
Висоцький	O
воно	O
було	O
виявлене	O
неподалік	O
від	O
замурованого	O
у	O

давнину	O
входу	O
до	O
північної	O
сходової	O
вежі	O
Пізніше	O
мною	O
були	O
виявлені	O
ще	O
три	O
графіті	B-inscription

на	O
західній	O
стіні	O
Софійського	O
собору	O
У	O
присвяченій	O
публікації	O
графіті	B-inscription
західних	O
га-	O

лерей	O
частині	O
Корпусу	O
логічним	O
буде	O
викладення	O
матеріалу	O
саме	O
звідси	O
розгор-	O

таючи	O
публікацію	O
наявних	O
графіті	B-inscription
по	O
мірі	O
входження	O
до	O
собору	O
спершу	O
фасадні	O

потім	O
західної	O
зовнішньої	O
та	O
західної	O
внутрішньої	O
галерей	O
Оскільки	O
окрім	O
чотирьох	O

написів	O
на	O
західному	O
фасаді	O
мною	O
виявлені	O
ще	O
один	O
напис	B-inscription
на	O
північній	O
стіні	O
та	O
один	O

на	O
східній	O
Зважаючи	O
на	O
незначну	O
кількість	O
виявлених	O
на	O
інших	O
фасадах	O
храму	O
гра-	O

фіті	O
вважаю	O
за	O
логічне	O
помістити	O
їх	O
в	O
один	O
розділ	O
з	O
епіграфічними	O
пам'ятками	O
за-	O

хідної	O
фасадної	O
стіни	O
Таким	O
чином	O
будуть	O
введені	O
до	O
наукового	O
обігу	O
усі	O
фасадні	O

графіті	B-inscription
на	O
рівні	O
першого	O
поверху	O
Софійського	O
собору	O

І.1	O
Графіті	B-inscription
на	O
західному	O
фасаді	O
Софійського	O
собору	O

Графіті	B-inscription
№	O
315	O
табл	O
ІІ	O
1	O

Публікація	O
С.	O
Висоцький22	O

Розташування	B-inscription
Знаходиться	O
на	O
західній	O
стіні	O
ліворуч	O
від	O
первісного	O
входу	O
до	O

північної	O
сходової	O
вежі	O
храму	O
та	O
праворуч	O
на	O
виступі	O
стіні	O
біля	O
ніші	O
з	O
малюнком	O
про-	O

квітлого	O
хреста	O
табл	O
І	O
Висота	O
від	O
рівня	O
ґрунту	O
143	O
см	O
відстань	O
від	O
лівого	O
ребра	O

стіни	O
11	O
см	O

Опис	B-inscription
Збереженість	O
напису	B-inscription
відносно	O
добра	O
його	O
складові	O
майже	O
повністю	O
збе-	O

реглись	O

г͠помоꙁ	O
|	O
рабусво-23	O
|	O
му24несторов	O

З	O
розбивкою	O
на	O
слова	B-inscription
та	O
відновленням	O
втраченого	O
фрагмента	O
текст	O
виглядає	O

таким	O
чином	O

Г(оспод)и	O
помози	O
рабу	O
сво[е]му	O
Несторови	O

Господи	O
поможи	O
рабу	O
своєму	O
Несторові	O

простежується	O
тільки	O
літера	O
у	O
У	O
зв'язку	O
з	O
потребою	O
розміщення	O
о	O
в	O
диграфі	O
на	O
прорисовці	O
дослідника	O

конфігурація	O
наступних	O
літер	O
була	O
змінена	O
що	O
однак	O
не	O
вплинуло	O
на	O
загальний	O
зміст	O
тексту	O

Датування	B-inscription
Початок	O
ХІІ	O
початок	O
ХІV	O
ст.	O
за	O
формою	O
написання	O
в	O
з	O
переломом	O

при	O
щоглі	O
вертикальної	O
з	O
із	O
розвилкою	O
прямолінійної	O
р	O
з	O
округлою	O
петлею	O
та	O
простої	O

т	O
без	O
засічок	O
відповідно	O
до	O
типовості	O
поширення	O
таких	O
форм	O
написання	O
літер	O
верхня	O

хронологічна	O
межа	O
може	O
бути	O
окреслена	O
першою	O
чвертю	O
ХІІІ	O
ст.25	O

Категорія	O
Молитовний	O
напис	B-inscription

Графіті	B-inscription
№	O
579	O
табл	O
ІІ	O
2	O

Розташування	B-inscription
Знаходиться	O
на	O
північній	O
стороні	O
того	O
ж	O
виступу	O
що	O
й	O
згаданий	O

вище	O
напис	B-inscription
табл	O
І	O
