,token,label
0,ГРАФІТІ,B-inscription
1,НА,O
2,ФАСАДАХ,O
3,СОФІЙСЬКОГО,O
4,СОБОРУ,O
5,Більша,O
6,частина,I-other
7,давнього,O
8,мурування,B-object_type
9,Софії,O
10,Київської,O
11,нині,O
12,захована,O
13,під,I-object_type
14,пізнішим,O
15,личкувальних,O
16,розчином,O
17,вкритим,O
18,побілкою,O
19,тож,O
20,для,O
21,вивчення,O
22,наразі,O
23,доступна,O
24,тільки,O
25,її,O
26,частина,I-other
27,відкрита,B-monument_subtype
28,зондажами,O
29,Поверхня,O
30,личкувального,O
31,розчину,O
32,в,O
33,цих,O
34,зондажах,O
35,часто,O
36,вкрита,O
37,сучасними,O
38,написами,O
39,виконаними,O
40,олівцем,O
41,або,O
42,видряпаними,O
43,причому,O
44,нерідко,O
45,з,I-object_type
46,ерозією,O
47,внаслідок,O
48,чого,O
49,вони,O
50,скидаються,O
51,на,I-inscription_type
52,стародавні,O
53,Проте,O
54,рівень,O
55,ерозії,O
56,виражений,O
57,слабо,O
58,порівняно,O
59,з,I-object_type
60,давніми,O
61,пам'ятками,O
62,у,I-object_type
63,них,O
64,відсутні,O
65,залишки,O
66,пізнішого,O
67,личкувального,O
68,розчину,O
69,який,O
70,нанесли,O
71,на,I-inscription_type
72,стіни,I-object_type
73,храму,I-object_type
74,на,I-inscription_type
75,межі,O
76,XVII,O
77,XVIII,O
78,ст.,O
79,Тож,O
80,від-,O
81,ділити,O
82,давні,O
83,графіті,B-inscription_type
84,від,O
85,пізніших,O
86,можливо,O
87,Першу,O
88,знахідку,O
89,напису,I-preservation_state
90,на,I-inscription_type
91,давньому,O
92,фа-,O
93,саді,O
94,здійснив,O
95,С.,O
96,Висоцький,O
97,воно,O
98,було,O
99,виявлене,O
100,неподалік,O
101,від,O
102,замурованого,O
103,у,I-object_type
104,давнину,O
105,входу,O
106,до,O
107,північної,O
108,сходової,I-object_type
109,вежі,I-object_type
110,Пізніше,O
111,мною,O
112,були,O
113,виявлені,O
114,ще,O
115,три,O
116,графіті,B-inscription_type
117,на,I-inscription_type
118,західній,O
119,стіні,I-object_type
120,Софійського,O
121,собору,O
122,У,O
123,присвяченій,O
124,публікації,O
125,графіті,B-inscription_type
126,західних,O
127,га-,O
128,лерей,O
129,частині,O
130,Корпусу,O
131,логічним,O
132,буде,O
133,викладення,O
134,матеріалу,O
135,саме,O
136,звідси,O
137,розгор-,O
138,таючи,O
139,публікацію,O
140,наявних,O
141,графіті,B-inscription_type
142,по,O
143,мірі,O
144,входження,O
145,до,O
146,собору,O
147,спершу,O
148,фасадні,O
149,потім,O
150,західної,O
151,зовнішньої,O
152,та,O
153,західної,O
154,внутрішньої,O
155,галерей,O
156,Оскільки,O
157,окрім,O
158,чотирьох,O
159,написів,O
160,на,I-inscription_type
161,західному,O
162,фасаді,O
163,мною,O
164,виявлені,O
165,ще,O
166,один,O
167,напис,I-inscription_type
168,на,I-inscription_type
169,північній,O
170,стіні,I-object_type
171,та,O
172,один,O
173,на,I-inscription_type
174,східній,O
175,Зважаючи,O
176,на,I-inscription_type
177,незначну,O
178,кількість,O
179,виявлених,O
180,на,I-inscription_type
181,інших,O
182,фасадах,O
183,храму,I-object_type
184,гра-,O
185,фіті,O
186,вважаю,O
187,за,O
188,логічне,O
189,помістити,O
190,їх,O
191,в,O
192,один,O
193,розділ,O
194,з,I-object_type
195,епіграфічними,O
196,пам'ятками,O
197,за-,O
198,хідної,O
199,фасадної,O
200,стіни,I-object_type
201,Таким,O
202,чином,O
203,будуть,O
204,введені,O
205,до,O
206,наукового,O
207,обігу,O
208,усі,O
209,фасадні,O
210,графіті,B-inscription_type
211,на,I-inscription_type
212,рівні,O
213,першого,O
214,поверху,O
215,Софійського,O
216,собору,O
217,І.1,O
218,Графіті,B-inscription
219,на,I-inscription_type
220,західному,O
221,фасаді,O
222,Софійського,O
223,собору,O
224,Графіті,B-inscription
225,№,O
226,315,O
227,табл,O
228,ІІ,O
229,1,O
230,Публікація,O
231,С.,O
232,Висоцький22,O
233,Розташування,B-other
234,Знаходиться,O
235,на,I-inscription_type
236,західній,O
237,стіні,I-object_type
238,ліворуч,O
239,від,O
240,первісного,O
241,входу,O
242,до,O
243,північної,O
244,сходової,I-object_type
245,вежі,I-object_type
246,храму,I-object_type
247,та,O
248,праворуч,O
249,на,I-inscription_type
250,виступі,O
251,стіні,I-object_type
252,біля,O
253,ніші,O
254,з,I-object_type
255,малюнком,O
256,про-,O
257,квітлого,O
258,хреста,O
259,табл,O
260,І,O
261,Висота,O
262,від,O
263,рівня,O
264,ґрунту,O
265,143,O
266,см,O
267,відстань,O
268,від,O
269,лівого,O
270,ребра,O
271,стіни,I-object_type
272,11,O
273,см,O
274,Опис,B-inscription
275,Збереженість,O
276,напису,I-preservation_state
277,відносно,O
278,добра,I-inscription_type
279,його,O
280,складові,O
281,майже,O
282,повністю,O
283,збе-,O
284,реглись,O
285,г͠помоꙁ,O
286,|,O
287,рабусво-23,O
288,|,O
289,му24несторов,O
290,З,O
291,розбивкою,O
292,на,I-inscription_type
293,слова,O
294,та,O
295,відновленням,O
296,втраченого,O
297,фрагмента,O
298,текст,O
299,виглядає,O
300,таким,O
301,чином,O
302,Г(оспод)и,O
303,помози,O
304,рабу,O
305,сво[е]му,O
306,Несторови,O
307,Господи,O
308,поможи,O
309,рабу,O
310,своєму,O
311,Несторові,O
312,простежується,O
313,тільки,O
314,літера,O
315,у,I-object_type
316,У,O
317,зв'язку,O
318,з,I-object_type
319,потребою,O
320,розміщення,O
321,о,O
322,в,O
323,диграфі,O
324,на,I-inscription_type
325,прорисовці,O
326,дослідника,O
327,конфігурація,O
328,наступних,O
329,літер,O
330,була,O
331,змінена,O
332,що,O
333,однак,O
334,не,O
335,вплинуло,O
336,на,I-inscription_type
337,загальний,O
338,зміст,O
339,тексту,O
340,Датування,B-dating_criteria
341,Початок,O
342,ХІІ,O
343,початок,O
344,ХІV,O
345,ст.,O
346,за,O
347,формою,O
348,написання,O
349,в,O
350,з,I-object_type
351,переломом,O
352,при,O
353,щоглі,O
354,вертикальної,O
355,з,I-object_type
356,із,O
357,розвилкою,O
358,прямолінійної,O
359,р,O
360,з,I-object_type
361,округлою,O
362,петлею,O
363,та,O
364,простої,O
365,т,O
366,без,O
367,засічок,O
368,відповідно,O
369,до,O
370,типовості,O
371,поширення,O
372,таких,O
373,форм,O
374,написання,O
375,літер,O
376,верхня,O
377,хронологічна,O
378,межа,O
379,може,O
380,бути,O
381,окреслена,O
382,першою,O
383,чвертю,O
384,ХІІІ,O
385,ст.25,O
386,Категорія,O
387,Молитовний,O
388,напис,I-inscription_type
389,Графіті,B-inscription
390,№,O
391,579,O
392,табл,O
393,ІІ,O
394,2,O
395,Розташування,B-other
396,Знаходиться,O
397,на,I-inscription_type
398,північній,O
399,стороні,O
400,того,O
401,ж,O
402,виступу,I-object_type
403,що,O
404,й,O
405,згаданий,O
406,вище,O
407,напис,I-inscription_type
408,табл,O
409,І,O
410,Висота,O
411,від,O
412,рівня,O
413,ґрунту,O
414,129,O
415,см,O
416,відстань,O
417,від,O
418,лівого,O
419,кута,O
420,стіни,I-object_type
421,30,O
422,см,O
423,Опис,B-inscription
424,На,O
425,поверхні,O
426,личкувального,O
427,розчину,O
428,прокреслені,O
429,літери,O
430,ЛА,O
431,Поверхня,O
432,стіни,I-object_type
433,довкола,O
434,них,O
435,вказує,O
436,що,O
437,напис,I-inscription_type
438,із,O
439,самого,O
440,початку,O
441,містив,O
442,тільки,O
443,ці,O
444,дві,O
445,складові,O
446,Датування,B-dating_criteria
447,Друга,O
448,чверть,O
449,ХІ,O
450,кінець,O
451,ХV,O
452,ст.,O
453,за,O
454,формою,O
455,написання,O
456,а,O
457,з,I-object_type
458,петлею,O
459,із,O
460,заломом,O
461,Категорія,O
462,Абетки,O
463,склади,O
464,та,O
465,окремі,O
466,літери,O
467,Графіті,B-inscription
468,№,O
469,580,O
470,табл,O
471,ІІІ,O
472,1,O
473,Розташування,B-other
474,Знаходиться,O
475,на,I-inscription_type
476,західній,O
477,стіні,I-object_type
478,під,I-object_type
479,нішею,I-object_type
480,з,I-object_type
481,малюнком,O
482,проквіт-,O
483,лого,O
484,хреста,O
485,табл,O
486,І,O
487,Висота,O
488,від,O
489,рівня,O
490,ґрунту,O
491,118,O
492,см,O
493,відстань,O
494,від,O
495,лівого,O
496,кута,O
497,стіни,I-object_type
498,Опис,B-inscription
499,На,O
500,поверхні,O
501,личкувального,O
502,розчину,O
503,прокреслений,B-decoration
504,простий,O
505,чотириконеч-,O
506,ний,O
507,хрест,I-decoration
508,Датування,B-dating_criteria
509,Друга,O
510,чверть,O
511,ХІ,O
512,кінець,O
513,ХV,O
514,ст.,O
515,за,O
516,формою,O
517,прорізів,O
518,сильно,O
