,Датування,B-dating_criteria
0,Друга,O
1,чверть,O
2,XІ,O
3,кінець,O
4,XVІ,O
5,ст.,O
6,за,O
7,формою,O
8,прорізів,O
9,Розташування,B-other
10,Висота,O
11,від,O
12,сучасної,O
13,підлоги,O
14,84,O
15,см,O
16,відстань,O
17,від,O
18,лівого,O
19,кута,O
20,438,O
21,см,O
22,Датування,B-dating_criteria
23,Друга,O
24,чверть,O
25,ХІ,O
26,кінець,O
27,XV,O
28,ст.,O
29,за,O
30,формою,O
31,написання,O
32,н,O
33,з,I-object_type
34,діаго-,O
35,Розташування,B-other
36,Висота,O
37,від,O
38,сучасної,O
39,підлоги,O
40,42,O
41,см,O
42,відстань,O
43,від,O
44,правого,O
45,кута,O
46,Опис,B-inscription
47,На,O
48,поверхні,O
49,фрески,I-object_type
50,частково,O
51,зберігся,O
52,дворядковий,B-other
53,напис,I-inscription_type
54,У,O
55,верхньому,O
56,Графіті,B-inscription
57,№,O
58,508,O
59,табл,O
60,LХV,O
61,1,O
62,Категорія,O
63,Підпис,O
64,до,O
65,фрескового,O
66,образу,O
67,сучасних,O
68,написів,O
69,переважно,O
70,залишених,O
71,відвідувачами,O
72,Софії,O
73,Київської,O
74,у,I-object_type
75,другій,O
76,половини,O
77,Опис,B-inscription
78,Напис,O
79,виконаний,O
80,поруч,O
81,із,O
82,молитвою,O
83,Павла,O
84,№,O
85,488,O
86,тому,O
87,на,I-inscription_type
88,перший,O
89,по-,O
90,Графіті,B-inscription
91,№,O
92,597,O
93,табл,O
94,ХLIV,O
95,4,O
96,Датування,B-dating_criteria
97,Друга,O
98,чверть,O
99,XІ,O
100,кінець,O
101,XVІ,O
102,ст.,O
103,за,O
104,формою,O
105,прорізів,O
106,Опис,B-inscription
107,На,O
108,поверхні,O
109,личкувального,O
110,розчину,O
111,подвійною,O
112,рискою,O
113,прокреслена,O
114,ченці,O
115,які,O
116,в,O
117,певний,O
118,час,O
119,та,O
120,за,O
121,певних,O
122,обставин,O
123,найвірогдніше,O
124,як,O
125,паломники,O
126,відвідали,O
127,З,O
128,відновленням,O
129,втрачених,O
130,фрагментів,O
131,наявний,O
132,текст,O
133,виглядає,O
134,таким,O
135,чином,O
136,вдало,O
137,виконану,O
138,Н,O
139,або,O
140,.,O
141,Утім,O
142,можлива,O
143,хоча,O
144,й,O
145,менш,O
146,вірогідна,O
147,її,O
148,ідентифікація,O
149,і,O
150,як,O
151,Публікації,O
152,С.,O
153,Висоцький63,O
154,З,O
155,розбивкою,O
156,на,I-inscription_type
157,слова,O
158,та,O
159,відновленням,O
160,втрачених,O
161,фрагментів,O
162,текст,O
163,виглядає,O
164,Датування,B-dating_criteria
165,Друга,O
166,чверть,O
167,ХІ,O
168,кінець,O
169,ХVІ,O
170,ст.,O
171,за,O
172,формою,O
173,прорізів,O
174,Розташування,B-other
175,Висота,O
176,від,O
177,сучасної,O
178,підлоги,O
179,61,O
180,см,O
181,відстань,O
182,від,O
183,лівого,O
184,кута,O
185,8,O
186,см,O
187,Графіті,B-inscription
188,№,O
189,560,O
190,табл,O
191,LІІ,O
192,3,O
193,Опис,B-inscription
194,Поверхня,O
195,стіни,I-object_type
196,в,O
197,місці,O
198,розташування,O
199,напису,I-preservation_state
