Графіті №,табл,Розташування,Опис,Датування,Категорія
315 ,"ІІ, 1","[('Знаходиться', 'O'), ('на', 'O'), ('західній', 'O'), ('стіні', 'O'), ('ліворуч', 'O'), ('від', 'O'), ('первісного', 'O'), ('входу', 'O'), ('до', 'O'), ('північної', 'O'), ('сходової', 'O'), ('вежі', 'O'), ('храму', 'O'), ('та', 'O'), ('праворуч', 'O'), ('на', 'O'), ('виступі', 'O'), ('стіні', 'O'), ('біля', 'O'), ('ніші', 'O'), ('з', 'O'), ('малюнком', 'O'), ('про-', 'O'), ('квітлого', 'O'), ('хреста', 'O')]","[('Збереженість', 'O'), ('напису', 'O'), ('відносно', 'O'), ('добра', 'O'), ('його', 'O'), ('складові', 'O'), ('майже', 'O'), ('повністю', 'O'), ('збе-', 'O'), ('реглись', 'O'), ('г͠\ue01fпомоꙁ\ue01f', 'O'), ('рабусво-23', 'O'), ('му24несторов\ue01f', 'O'), ('З', 'O'), ('розбивкою', 'O'), ('на', 'O'), ('слова', 'O'), ('та', 'O'), ('відновленням', 'O'), ('втраченого', 'O'), ('фрагмента', 'O'), ('текст', 'O'), ('виглядає', 'O'), ('таким', 'O'), ('чином', 'O'), ('Г(оспод)и', 'B'), ('помози', 'O'), ('рабу', 'O'), ('сво[е]му', 'B'), ('Несторови', 'I'), ('Господи', 'B'), ('поможи', 'O'), ('рабу', 'O'), ('своєму', 'O'), ('Несторові', 'B'), ('простежується', 'O'), ('тільки', 'O'), ('літера', 'O'), ('у', 'O'), ('У', 'O'), (""зв'язку"", 'O'), ('з', 'O'), ('потребою', 'O'), ('розміщення', 'O'), ('о', 'O'), ('в', 'O'), ('диграфі', 'O'), ('на', 'O'), ('прорисовці', 'O'), ('дослідника', 'O'), ('конфігурація', 'O'), ('наступних', 'O'), ('літер', 'O'), ('була', 'O'), ('змінена', 'O'), ('що', 'O'), ('однак', 'O'), ('не', 'O'), ('вплинуло', 'O'), ('на', 'O'), ('загальний', 'O'), ('зміст', 'O'), ('тексту', 'O')]","[('Початок', 'O'), ('ХІІ', 'O'), ('–', 'O'), ('початок', 'O'), ('ХІV', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('написання', 'O'), ('в', 'O'), ('з', 'O'), ('переломом', 'O'), ('при', 'O'), ('щоглі', 'O'), ('вертикальної', 'O'), ('з', 'O'), ('із', 'O'), ('розвилкою', 'O'), ('прямолінійної', 'O'), ('р', 'O'), ('з', 'O'), ('округлою', 'O'), ('петлею', 'O'), ('та', 'O'), ('простої', 'O'), ('т', 'O'), ('без', 'O'), ('засічок', 'O'), (';', 'O'), ('відповідно', 'O'), ('до', 'O'), ('типовості', 'O'), ('поширення', 'O'), ('таких', 'O'), ('форм', 'O'), ('написання', 'O'), ('літер', 'O'), ('верхня', 'O'), ('хронологічна', 'O'), ('межа', 'O'), ('може', 'O'), ('бути', 'O'), ('окреслена', 'O'), ('першою', 'O'), ('чвертю', 'O'), ('ХІІІ', 'O'), ('ст.25', 'O')]","[('Молитовний', 'O'), ('напис', 'O')]"
579 ,"ІІ, 2","[('Знаходиться', 'O'), ('на', 'O'), ('північній', 'O'), ('стороні', 'O'), ('того', 'O'), ('ж', 'O'), ('виступу', 'O'), ('що', 'O'), ('й', 'O'), ('згаданий', 'O'), ('вище', 'O'), ('напис', 'O')]","[('На', 'O'), ('поверхні', 'O'), ('личкувального', 'O'), ('розчину', 'O'), ('прокреслені', 'O'), ('літери', 'O'), ('ЛА', 'O'), ('Поверхня', 'O'), ('стіни', 'O'), ('довкола', 'O'), ('них', 'O'), ('вказує', 'O'), ('що', 'O'), ('напис', 'O'), ('із', 'O'), ('самого', 'O'), ('початку', 'O'), ('містив', 'O'), ('тільки', 'O'), ('ці', 'O'), ('дві', 'O'), ('складові', 'O')]","[('Друга', 'O'), ('чверть', 'O'), ('ХІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('ХV', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('написання', 'O'), ('а', 'O'), ('з', 'O'), ('петлею', 'O'), ('із', 'O'), ('заломом', 'O')]","[('Абетки', 'O'), ('склади', 'O'), ('та', 'O'), ('окремі', 'O'), ('літери', 'O')]"
580 ,"ІІІ, 1","[('Знаходиться', 'O'), ('на', 'O'), ('західній', 'O'), ('стіні', 'O'), ('під', 'O'), ('нішею', 'O'), ('з', 'O'), ('малюнком', 'O'), ('проквіт-', 'O'), ('лого', 'O'), ('хреста', 'O')]","[('На', 'O'), ('поверхні', 'O'), ('личкувального', 'O'), ('розчину', 'O'), ('прокреслений', 'O'), ('простий', 'O'), ('чотириконеч-', 'O'), ('ний', 'O'), ('хрест', 'O')]","[('Друга', 'O'), ('чверть', 'O'), ('ХІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('ХV', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('прорізів', 'O'), ('сильно', 'O'), ('пошкод-', 'O'), ('жених', 'O'), ('ерозією', 'O'), ('що', 'O'), ('свідчить', 'O'), ('про', 'O'), ('тривале', 'O'), ('перебування', 'O'), ('під', 'O'), ('дією', 'O'), ('атмосферних', 'O'), ('опадів', 'O')]","[('Хрести', 'O'), ('монограми', 'O'), ('теонімограми', 'O')]"
581 ,"ІІІ, 2","[('Знаходиться', 'O'), ('на', 'O'), ('західній', 'O'), ('стіні', 'O'), ('під', 'O'), ('нішею', 'O'), ('з', 'O'), ('малюнком', 'O'), ('проквіт-', 'O'), ('лого', 'O'), ('хреста', 'O')]","[('На', 'O'), ('поверхні', 'O'), ('личкувального', 'O'), ('розчину', 'O'), ('прокреслений', 'O'), ('чотириконечний', 'O'), ('хрест', 'O'), ('кінці', 'O'), ('якого', 'O'), ('розширюються', 'O'), ('у', 'O'), ('вигляді', 'O'), ('трикутників', 'O')]","[('Друга', 'O'), ('чверть', 'O'), ('ХІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('ХV', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('прорізів', 'O'), ('сильно', 'O'), ('пошкод-', 'O'), ('жених', 'O'), ('ерозією', 'O'), ('що', 'O'), ('свідчить', 'O'), ('про', 'O'), ('тривале', 'O'), ('перебування', 'O'), ('під', 'O'), ('дією', 'O'), ('атмосферних', 'O'), ('опадів', 'O')]","[('Хрести', 'O'), ('монограми', 'O'), ('теонімограми', 'O'), ('І.2', 'O'), ('Графіті', 'O'), ('на', 'O'), ('північному', 'O'), ('фасаді', 'O'), ('Софійського', 'B'), ('собору', 'I')]"
4243 ,"ІІІ, 3","[('Знаходиться', 'O'), ('на', 'O'), ('північній', 'O'), ('стіні', 'O'), ('між', 'O'), ('двома', 'O'), ('її', 'O'), ('середніми', 'O'), ('висту-', 'O'), ('пами', 'O'), ('у', 'O'), ('невеликому', 'O'), ('зондажі', 'O'), ('давнього', 'O'), ('мурування', 'O')]","[('На', 'O'), ('поверхні', 'O'), ('торця', 'O'), ('плінфи', 'O'), ('простежуються', 'O'), ('три', 'O'), ('літери', 'O'), ('КОН', 'O'), ('Далі', 'O'), ('поверхня', 'O'), ('пошкоджена', 'O'), ('тож', 'O'), ('імовірно', 'O'), ('тут', 'O'), ('був', 'O'), ('виконаний', 'O'), ('запис', 'O'), ('імені', 'O'), ('Кон[стантин', 'O'), (""'"", 'O'), ('Костянтин', 'O'), (""'"", 'O'), ('Схожі', 'O'), ('написи', 'O'), ('траплялись', 'O'), ('на', 'O'), ('фасадах', 'O'), ('інших', 'O'), ('церковних', 'O'), ('споруд', 'O'), ('Києва', 'B'), ('наприклад', 'O'), ('у', 'O'), ('церкві', 'O'), ('Спаса', 'B'), ('на', 'O'), ('Берестові26', 'B')]","[('Друга', 'O'), ('чверть', 'O'), ('ХІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('ХV', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('прорізів', 'O'), ('сильно', 'O'), ('пошкод-', 'O'), ('жених', 'O'), ('ерозією', 'O'), ('що', 'O'), ('свідчить', 'O'), ('про', 'O'), ('тривале', 'O'), ('перебування', 'O'), ('під', 'O'), ('дією', 'O'), ('атмосферних', 'O'), ('опадів', 'O')]","[(""Пам'ятний"", 'O'), ('напис', 'O'), ('І.3', 'O'), ('Графіті', 'O'), ('на', 'O'), ('східному', 'O'), ('фасаді', 'O'), ('Софійського', 'B'), ('собору', 'I')]"
4244 ,"ІІІ, 4","[('Знаходиться', 'O'), ('на', 'O'), ('північній', 'O'), ('стороні', 'O'), ('апсиди', 'O'), ('Михайлівського', 'B'), ('при-', 'O'), ('діла', 'O')]","[('На', 'O'), ('поверхні', 'O'), ('личкувального', 'O'), ('розчину', 'O'), ('прокреслений', 'O'), ('простий', 'O'), ('чотириконеч-', 'O'), ('ний', 'O'), ('хрест', 'O')]","[('Друга', 'O'), ('чверть', 'O'), ('ХІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('ХV', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('прорізів', 'O'), ('сильно', 'O'), ('пошкод-', 'O'), ('жених', 'O'), ('ерозією', 'O'), ('що', 'O'), ('свідчить', 'O'), ('про', 'O'), ('тривале', 'O'), ('перебування', 'O'), ('під', 'O'), ('дією', 'O'), ('атмосферних', 'O'), ('опадів', 'O')]","[('Хрести', 'O'), ('монограми', 'O'), ('теонімограми', 'O'), ('ГРАФІТІ', 'O'), ('ПІВНІЧНОЇ', 'O'), ('СТОРОНИ', 'O'), ('ЗАХІДНОЇ', 'O'), ('ЗОВНІШНЬОЇ', 'O'), ('ГАЛЕРЕЇ', 'O'), ('У', 'O'), ('цьому', 'O'), ('розділі', 'O'), ('розглядатимуться', 'O'), ('епіграфічні', 'O'), (""пам'ятки"", 'O'), ('що', 'O'), ('знаходяться', 'O'), ('у', 'O'), ('ни-', 'O'), ('нішньому', 'O'), ('нартексі', 'O'), ('Софійського', 'B'), ('собору', 'I'), ('зведеному', 'O'), ('у', 'O'), ('1889', 'O'), ('р', 'O'), ('на', 'O'), ('місці', 'O'), ('західної', 'O'), ('зовніш-', 'O'), ('ньої', 'O'), ('галереї', 'O'), ('храму', 'O'), ('що', 'O'), ('зруйнувалась', 'O'), ('на', 'O'), ('початок', 'O'), ('XVII', 'O'), ('ст.', 'O'), ('Нині', 'O'), ('більша', 'O'), ('частина', 'O'), ('поверхні', 'O'), ('стін', 'O'), ('нартексу', 'O'), ('закрита', 'O'), ('нейтральним', 'O'), ('тоном', 'O'), ('Стародавнє', 'O'), ('мурування', 'O'), ('та', 'O'), ('фреску', 'O'), ('що', 'O'), ('увійшло', 'O'), ('до', 'O'), ('складу', 'O'), ('нартексу', 'O'), ('можемо', 'O'), ('бачити', 'O'), ('у', 'O'), ('північній', 'O'), ('стороні', 'O'), ('західної', 'O'), ('зовнішньої', 'O'), ('галереї', 'O'), ('що', 'O'), ('містить', 'O'), ('зовнішню', 'O'), ('стіну', 'O'), ('північної', 'O'), ('сходової', 'O'), ('вежі', 'O'), ('фреску', 'O'), ('внутрішньої', 'O'), ('по-', 'O'), ('верхні', 'O'), ('аркбутану', 'O'), ('та', 'O'), ('відкриту', 'O'), ('зондажем', 'O'), ('невелику', 'O'), ('ділянку', 'O'), ('фрескового', 'O'), ('тиньку', 'O'), ('західної', 'O'), ('сторони', 'O'), ('лопатки', 'O'), ('стіни', 'O'), ('закритої', 'O'), ('наприкінці', 'O'), ('ХІ', 'O'), ('ст.', 'O'), ('підпірним', 'O'), ('стовпом', 'O'), ('під', 'O'), ('аркбутан', 'O'), ('ІІ.1', 'O'), ('Графіті', 'O'), ('на', 'O'), ('фасаді', 'O'), ('північної', 'O'), ('сходової', 'O'), ('вежі', 'O'), ('На', 'O'), ('південно', 'O'), ('-', 'O'), ('східному', 'O'), ('фасаді', 'O'), ('північної', 'O'), ('сходової', 'O'), ('вежі', 'O'), ('Софійського', 'B'), ('собору', 'I')]"
609 ,"V, 1","[('Знаходиться', 'O'), ('на', 'O'), ('личкувальному', 'O'), ('розчині', 'O'), ('фасадної', 'O'), ('стіни', 'O'), ('північ-', 'O'), ('ної', 'O'), ('сходової', 'O'), ('вежі', 'O')]","[('На', 'O'), ('поверхні', 'O'), ('личкувального', 'O'), ('розчину', 'O'), ('прокреслений', 'O'), ('візерунок', 'O'), ('у', 'O'), ('вигляді', 'O'), ('подвійного', 'O'), ('кола', 'O'), ('що', 'O'), ('орнаментоване', 'O'), ('всередині', 'O'), ('завитками', 'O'), ('Не', 'O'), ('виключено', 'O'), ('що', 'O'), ('малюнок', 'O'), ('був', 'O'), ('зразком', 'O'), (""граф'ї"", 'O'), ('для', 'O'), ('орнаментування', 'O'), ('фасаду', 'O'), ('вежі', 'O'), ('проте', 'O'), ('в', 'O'), ('подальшому', 'O'), ('майстри', 'O'), ('виконали', 'O'), ('на', 'O'), ('фресці', 'O'), ('інше', 'O'), ('зображення', 'O')]","[('Друге', 'O'), ('десятиліття', 'O'), ('ХІ', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('прорізів', 'O'), ('що', 'O'), ('виконані', 'O'), ('по', 'O'), ('си-', 'O'), ('рому', 'O'), ('личкувальному', 'O'), ('розчину', 'O')]","[('Емблеми', 'O'), ('Дипінті', 'O'), ('№', 'O'), ('610', 'O')]"
611 ,"VІ, 2","[('Знаходиться', 'O'), ('на', 'O'), ('фресковому', 'O'), ('тиньку', 'O'), ('фасадної', 'O'), ('стіни', 'O'), ('північної', 'O'), ('сходової', 'O'), ('вежі', 'O')]","[('На', 'O'), ('фрагменті', 'O'), ('фрескового', 'O'), ('тиньку', 'O'), ('простежуються', 'O'), ('літери', 'O'), ('ПО', 'O'), ('які', 'O'), ('найімо-', 'O'), ('вірніше', 'O'), ('розглядати', 'O'), ('як', 'O'), ('частину', 'O'), ('дієслова', 'O'), ('-', 'O'), ('прохання', 'O'), ('по[мози', 'O'), (""'"", 'O'), ('поможи', 'O'), (""'"", 'O')]","[('Друга', 'O'), ('чверть', 'O'), ('ХІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('XІІI', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('написання', 'O'), ('п', 'O'), ('з', 'O'), ('висту-', 'O'), ('пом', 'O'), ('зверху', 'O')]","[('Молитовний', 'O'), ('напис', 'O')]"
612 ,"VІ, 1","[('Знаходиться', 'O'), ('на', 'O'), ('фресковому', 'O'), ('тиньку', 'O'), ('фасадної', 'O'), ('стіни', 'O'), ('північної', 'O'), ('сходової', 'O'), ('вежі', 'O')]","[('На', 'O'), ('фрагменті', 'O'), ('фрескового', 'O'), ('тиньку', 'O'), ('простежується', 'O'), ('малюнок', 'O'), ('руки', 'O'), ('що', 'O'), ('три-', 'O'), ('має', 'O'), ('чотириконечний', 'O'), ('хрест', 'O'), ('Вочевидь', 'O'), ('це', 'O'), ('незначна', 'O'), ('збережена', 'O'), ('частина', 'O'), ('більшого', 'O'), ('за', 'O'), ('роз-', 'O'), ('мірами', 'O'), ('малюнка', 'O'), ('святого', 'O')]","[('Друга', 'O'), ('чверть', 'O'), ('ХІ', 'O'), ('–', 'O'), ('кінець', 'O'), ('XVI', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('прорізів', 'O')]","[('Зображення', 'O'), ('ангелів', 'O'), ('та', 'O'), ('святих', 'O')]"
613 ,"VІ, 3","[('Знаходиться', 'O'), ('на', 'O'), ('личкувальному', 'O'), ('розчині', 'O'), ('фасадної', 'O'), ('стіни', 'O'), ('північ-', 'O'), ('ної', 'O'), ('сходової', 'O'), ('вежі', 'O')]","[('По', 'O'), ('личкувальному', 'O'), ('розчину', 'O'), ('був', 'O'), ('прокреслений', 'O'), ('малюнок', 'O'), ('чотириконечного', 'O'), ('хреста', 'O'), ('кінці', 'O'), ('якого', 'O'), ('мали', 'O'), ('розширення', 'O'), ('у', 'O'), ('вигляді', 'O'), ('трикутників', 'O')]","[('Друге', 'O'), ('десятиліття', 'O'), ('ХІ', 'O'), ('ст.', 'O'), (';', 'O'), ('за', 'O'), ('формою', 'O'), ('прорізів', 'O'), ('що', 'O'), ('виконані', 'O'), ('по', 'O'), ('си-', 'O'), ('рому', 'O'), ('личкувальному', 'O'), ('розчину', 'O')]","[('Хрести', 'O'), ('монограми', 'O'), ('теонімограми', 'O')]"
